2018-2019 Award Year Direct Loan Volume by School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Award Year Cumulative Activity through Quarter ending (6/30/2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Common Origination and Disbursement (COD) System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data as of Oct 1, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,DL SUBSIDIZED,,,,,DL UNSUBSIDIZED - UNDERGRADUATE,,,,,DL UNSUBSIDIZED - GRADUATE,,,,,DL PARENT PLUS,,,,,DL GRAD PLUS,,,,
OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00100200,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,AL,357621357,Public,"3,652","3,880","$14,357,275.00","7,225","$13,947,715.00","3,664","4,348","$13,578,755.00","8,073","$13,163,863.00",902,"1,052","$14,629,335.00","1,962","$14,455,887.00","1,368","1,545","$17,751,451.00","2,990","$17,482,230.00",278,353,"$2,378,532.00",675,"$2,368,848.00"
00100300,FAULKNER UNIVERSITY,AL,361093398,Private-Nonprofit,"1,546","2,297","$5,954,914.00","4,666","$5,926,996.00","1,614","2,619","$6,620,693.00","5,302","$6,590,661.00",747,"1,216","$10,366,842.00","2,345","$10,366,842.00",207,239,"$2,036,856.00",460,"$2,036,856.00",163,277,"$4,433,845.00",516,"$4,433,845.00"
00100400,UNIVERSITY OF MONTEVALLO,AL,351156000,Public,"1,106","1,180","$4,347,189.00","2,150","$4,347,189.00","1,198","1,312","$4,425,020.00","2,433","$4,425,020.00",209,256,"$3,265,941.00",438,"$3,265,941.00",262,299,"$3,040,586.00",563,"$3,037,255.00",13,14,"$72,917.00",20,"$72,917.00"
00100500,ALABAMA STATE UNIVERSITY,AL,361045714,Public,"2,828","2,988","$11,102,108.00","5,530","$10,616,021.00","2,876","3,492","$11,034,114.00","6,481","$10,416,549.00",392,490,"$6,484,241.00",872,"$5,896,501.00",939,"1,138","$12,064,458.00","2,194","$11,771,036.00",136,206,"$1,566,973.00",394,"$1,541,505.00"
00100700,CENTRAL ALABAMA COMMUNITY COLLEGE,AL,350100000,Public,242,272,"$710,482.00",530,"$710,482.00",229,269,"$749,025.00",507,"$749,025.00",-,-, -,-, -,1,1,"$6,080.00",1,"$6,080.00",-,-, -,-, -
00100800,ATHENS STATE UNIVERSITY,AL,356111999,Public,"1,434","1,569","$5,770,090.00","2,574","$5,762,756.00","1,248","1,304","$6,944,334.00","2,238","$6,936,158.00",102,107,"$1,340,749.00",189,"$1,340,749.00",35,40,"$308,449.00",72,"$300,081.00",-,-, -,-, -
00100900,AUBURN UNIVERSITY,AL,368495113,Public,"6,262","6,749","$26,014,796.00","11,927","$26,012,046.00","6,878","7,154","$23,925,848.00","12,965","$23,923,848.00","1,950","2,288","$44,945,653.00","4,075","$44,945,653.00","1,851","2,176","$46,555,956.00","3,811","$46,555,956.00",499,707,"$10,120,958.00","1,116","$10,120,958.00"
00101200,BIRMINGHAM-SOUTHERN COLLEGE,AL,352540002,Private-Nonprofit,476,480,"$1,975,744.00",906,"$1,969,313.00",559,603,"$1,970,053.00","1,135","$1,967,386.00",-,-, -,-, -,192,205,"$3,315,510.00",372,"$3,296,223.00",-,-, -,-, -
00101300,CALHOUN COMMUNITY COLLEGE,AL,356710000,Public,"1,782","1,787","$5,174,380.00","3,005","$5,174,380.00","1,781","1,788","$5,849,556.00","3,015","$5,849,556.00",-,-, -,-, -,25,25,"$117,620.00",48,"$117,620.00",-,-, -,-, -
